ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,padj HD,padj H_LF,padj H_HF,padj D_LF,padj D_HF,padj_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF,t HD,t H_LF,t H_HF,t D_LF,t D_HF,t_HF_LF,ROI1,ROI2,meanDEP,meanHEALTH,meanHF,meanLF,stdDEP,stdHEALTH,stdHF,stdLF,p HD,p H_LF,p H_HF,p D_LF,p D_HF,p_HF_LF,EF HD,EF H_LF,EF H_HF,EF D_LF,EF D_HF,EF_HF_LF,t HD,t H_LF,t H_HF,t D_LF,t D_HF,t_HF_LF
rFEF,rPCM,0.1273322338850772,0.1346804499239867,0.12728960735377573,0.1255605183524833,0.10177765325621552,0.10814065358701931,0.10176822033382987,0.09737879057233861,1.0,1.0,1.0,1.0,1.0,1.0,-0.06986137667580924,-0.08848079587154026,-0.07026969710437642,0.017758189308686927,0.000418140903413713,-0.017331775352889576,-0.8556236279205335,-1.08366400960315,-0.860624511428254,0.21749251281015264,0.005121159269749908,-0.21227002975562653,rFEF,rPCM,0.1273322338850772,0.1346804499239867,0.12728960735377573,0.1255605183524833,0.10177765325621552,0.10814065358701931,0.10176822033382987,0.09737879057233861,0.39254868465741766,0.2789505218677301,0.38978979682031945,0.827898728590393,0.9959156318434984,0.8319687073353048,-0.06986137667580924,-0.08848079587154026,-0.07026969710437642,0.017758189308686927,0.000418140903413713,-0.017331775352889576,-0.8556236279205335,-1.08366400960315,-0.860624511428254,0.21749251281015264,0.005121159269749908,-0.21227002975562653
rFEF,rPCM,0.1273322338850772,0.1346804499239867,0.12728960735377573,0.1255605183524833,0.10177765325621552,0.10814065358701931,0.10176822033382987,0.09737879057233861,1.0,1.0,1.0,1.0,1.0,1.0,-0.06986137667580924,-0.08848079587154026,-0.07026969710437642,0.017758189308686927,0.000418140903413713,-0.017331775352889576,-0.8556236279205335,-1.08366400960315,-0.860624511428254,0.21749251281015264,0.005121159269749908,-0.21227002975562653,rFEF,rPCM,0.1273322338850772,0.1346804499239867,0.12728960735377573,0.1255605183524833,0.10177765325621552,0.10814065358701931,0.10176822033382987,0.09737879057233861,0.39254868465741766,0.2789505218677301,0.38978979682031945,0.827898728590393,0.9959156318434984,0.8319687073353048,-0.06986137667580924,-0.08848079587154026,-0.07026969710437642,0.017758189308686927,0.000418140903413713,-0.017331775352889576,-0.8556236279205335,-1.08366400960315,-0.860624511428254,0.21749251281015264,0.005121159269749908,-0.21227002975562653
rFEF,rPCS,0.16145079142431598,0.16564221057091078,0.16142041300999832,0.16215552989572463,0.11023802656132287,0.1285343467961499,0.11013636592965027,0.1105676615527333,1.0,1.0,1.0,1.0,1.0,1.0,-0.0349470641772106,-0.02903429382938965,-0.03521411179856226,-0.006372681327701545,0.00027523831416761594,0.006650438374795914,-0.4280123762123141,-0.35559602462021433,-0.4312830282589917,-0.07804908773115411,0.003370967136872546,0.0814509029203711,rFEF,rPCS,0.16145079142431598,0.16564221057091078,0.16142041300999832,0.16215552989572463,0.11023802656132287,0.1285343467961499,0.11013636592965027,0.1105676615527333,0.6687962108447587,0.722268518620514,0.6664180178847936,0.9378151134798016,0.9973114866638231,0.9351106218860503,-0.0349470641772106,-0.02903429382938965,-0.03521411179856226,-0.006372681327701545,0.00027523831416761594,0.006650438374795914,-0.4280123762123141,-0.35559602462021433,-0.4312830282589917,-0.07804908773115411,0.003370967136872546,0.0814509029203711
rFEF,rPFCCL,0.14047269758599487,0.1526039490728341,0.14043851209439345,0.14075814332694395,0.10774287363300554,0.12652065873599108,0.10772953758216741,0.10897215826178029,1.0,1.0,1.0,1.0,1.0,1.0,-0.10306593627972868,-0.10015887306070678,-0.10336175063446305,-0.002629859258181208,0.00031677807813165423,0.0029449960861629206,-1.2622947687377002,-1.226690661054618,-1.2659177398761494,-0.03220906638939123,0.0038797232656102762,0.03606868852796338,rFEF,rPFCCL,0.14047269758599487,0.1526039490728341,0.14043851209439345,0.14075814332694395,0.10774287363300554,0.12652065873599108,0.10772953758216741,0.10897215826178029,0.2073347932646685,0.22042163760940317,0.20603548196209176,0.9743160730918857,0.996905730345864,0.9712396255122445,-0.10306593627972868,-0.10015887306070678,-0.10336175063446305,-0.002629859258181208,0.00031677807813165423,0.0029449960861629206,-1.2622947687377002,-1.226690661054618,-1.2659177398761494,-0.03220906638939123,0.0038797232656102762,0.03606868852796338
rFEF,rPFCDL,0.17311829750559052,0.15154303659783697,0.17443861632953334,0.1823604527948216,0.1374022350859795,0.11722670390029583,0.1387735118089491,0.15996201561787998,1.0,1.0,1.0,1.0,1.0,1.0,0.16865306122552615,0.2193938807379484,0.1779440227286589,-0.06187899240152329,-0.009545372631290908,0.052814637172251766,2.065569717804548,2.6870153024850025,2.179360292317133,-0.7578597859064478,-0.11690646175695177,0.6468445601112293,rFEF,rPFCDL,0.17311829750559052,0.15154303659783697,0.17443861632953334,0.1823604527948216,0.1374022350859795,0.11722670390029583,0.1387735118089491,0.15996201561787998,0.039299390818936436,0.00740988757411026,0.029694404310041316,0.44883346788286926,0.906973428747198,0.5179807449641369,0.16865306122552615,0.2193938807379484,0.1779440227286589,-0.06187899240152329,-0.009545372631290908,0.052814637172251766,2.065569717804548,2.6870153024850025,2.179360292317133,-0.7578597859064478,-0.11690646175695177,0.6468445601112293
rFEF,rPFCDM,0.13215397303050394,0.1334150197876516,0.13216820906667182,0.13253764145531263,0.10367867160225083,0.0995250086939884,0.10369798477644233,0.10368839062328238,1.0,1.0,1.0,1.0,1.0,1.0,-0.012388361537130368,-0.008618831670487609,-0.01224732116638957,-0.0036942071623114877,-0.0001370674001807235,0.003556802156651317,-0.15172582257545242,-0.10555869885817101,-0.14999843786821282,-0.0452446127589907,-0.0016787259540631961,0.04356175199913243,rFEF,rPFCDM,0.13215397303050394,0.1334150197876516,0.13216820906667182,0.13253764145531263,0.10367867160225083,0.0995250086939884,0.10369798477644233,0.10368839062328238,0.8794543613849757,0.9159678927609642,0.8808164244318754,0.9639274390180951,0.9986611309542153,0.9652682815609088,-0.012388361537130368,-0.008618831670487609,-0.01224732116638957,-0.0036942071623114877,-0.0001370674001807235,0.003556802156651317,-0.15172582257545242,-0.10555869885817101,-0.14999843786821282,-0.0452446127589907,-0.0016787259540631961,0.04356175199913243
rFEF,rPFCM,0.13391561508953542,0.14918053255450714,0.13391364323792582,0.13580367288552936,0.1266032458556098,0.1343680385523578,0.12646508697782216,0.13040258632163843,1.0,1.0,1.0,1.0,1.0,1.0,-0.11673861908436854,-0.10086503199988243,-0.11681362987851712,-0.014666612507472095,1.5557554211534612e-05,0.014689706173734407,-1.4297502501691666,-1.2353393064460452,-1.4306689410234914,-0.17962858449214184,0.00019054034731973634,0.17991142298530577,rFEF,rPFCM,0.13391561508953542,0.14918053255450714,0.13391364323792582,0.13580367288552936,0.1266032458556098,0.1343680385523578,0.12646508697782216,0.13040258632163843,0.15331093210527735,0.21718935382794602,0.15304743868398718,0.8575050105248874,0.9998480343436299,0.8572830540258431,-0.11673861908436854,-0.10086503199988243,-0.11681362987851712,-0.014666612507472095,1.5557554211534612e-05,0.014689706173734407,-1.4297502501691666,-1.2353393064460452,-1.4306689410234914,-0.17962858449214184,0.00019054034731973634,0.17991142298530577
rFEF,rPFCORB,0.11930101017007966,0.1139386114859537,0.1193006618285296,0.12483647617942079,0.12320061608347162,0.10300437504587241,0.1232365576469054,0.12111474546056078,1.0,1.0,1.0,1.0,1.0,1.0,0.047145230760053725,0.09677298907224152,0.047134074482607605,-0.04523687009924154,2.822305476359101e-06,0.04523300571966062,0.5774087958394879,1.185222220554621,0.5772721599036283,-0.554036246518536,3.4566041576712045e-05,0.5539889177278077,rFEF,rPFCORB,0.11930101017007966,0.1139386114859537,0.1193006618285296,0.12483647617942079,0.12320061608347162,0.10300437504587241,0.1232365576469054,0.12111474546056078,0.5638806562509551,0.23640037391603227,0.5639728799715138,0.5797611516415823,0.9999724318166677,0.5797935214845339,0.047145230760053725,0.09677298907224152,0.047134074482607605,-0.04523687009924154,2.822305476359101e-06,0.04523300571966062,0.5774087958394879,1.185222220554621,0.5772721599036283,-0.554036246518536,3.4566041576712045e-05,0.5539889177278077
rFEF,rTCC,0.15863698619315147,0.1432041693555239,0.15866812158676213,0.15793033271998155,0.13606911900516655,0.1172059195589736,0.1361143668631973,0.1376247510723197,1.0,1.0,1.0,1.0,1.0,1.0,0.12132676574041329,0.1150146535341134,0.12154833508852836,0.005155127068138613,-0.00022840076019655373,-0.005381379074995417,1.4859433410309992,1.408636070507859,1.4886570002586144,0.06313715438074727,-0.002797326596726694,-0.06590816423114651,rFEF,rTCC,0.15863698619315147,0.1432041693555239,0.15866812158676213,0.15793033271998155,0.13606911900516655,0.1172059195589736,0.1361143668631973,0.1376247510723197,0.13782109806268183,0.1594625221272478,0.13710486342233846,0.9496783860739305,0.9977689921028157,0.9474729681436658,0.12132676574041329,0.1150146535341134,0.12154833508852836,0.005155127068138613,-0.00022840076019655373,-0.005381379074995417,1.4859433410309992,1.408636070507859,1.4886570002586144,0.06313715438074727,-0.002797326596726694,-0.06590816423114651
rFEF,rTCI,0.14312789114152857,0.13875590681927952,0.14313991121099093,0.1432793301642787,0.12712437291553194,0.13346436791201102,0.127135267782025,0.12769321635632122,1.0,1.0,1.0,1.0,1.0,1.0,0.03348878676884274,0.03457510754761032,0.0335794898377454,-0.0011866216725229665,-9.439185272887629e-05,0.0010923901325329917,0.41015219844266654,0.4234568564674836,0.4112630796272467,-0.014533088077046128,-0.0011560593753084142,0.013378992123785597,rFEF,rTCI,0.14312789114152857,0.13875590681927952,0.14313991121099093,0.1432793301642787,0.12712437291553194,0.13346436791201102,0.127135267782025,0.12769321635632122,0.681841201997393,0.6721142259130641,0.6810269825859356,0.9884095287877285,0.9990779838175486,0.9893298894113393,0.03348878676884274,0.03457510754761032,0.0335794898377454,-0.0011866216725229665,-9.439185272887629e-05,0.0010923901325329917,0.41015219844266654,0.4234568564674836,0.4112630796272467,-0.014533088077046128,-0.0011560593753084142,0.013378992123785597
